"AU_ID","UT","C1","RP","RID","RI","OI","Author_Order"
"Reneker, JL_1","WOS:000389444800001
","Univ North Carolina Wilmington, Ctr Marine Sci, Dept Biol & Marine Biol, Wilmington, NC 28409 USA.","Univ North Carolina Wilmington, Ctr Marine Sci, Dept Biol & Marine Biol, Wilmington, NC 28409 USA.","","","",1
"Kamel, SJ_1","WOS:000389444800001
","Univ North Carolina Wilmington, Ctr Marine Sci, Dept Biol & Marine Biol, Wilmington, NC 28409 USA.","","","","",2
"Tao, SL_1","WOS:000389444800002
","Peking Univ, Dept Ecol, Coll Urban & Environm Sci, Beijing 100871, Peoples R China.
Peking Univ, Key Lab Earth Surface Proc, Minist Educ, Beijing 100871, Peoples R China.","","","","",1
"Guo, QH_1","WOS:000389444800002
","Chinese Acad Sci, Inst Bot, State Key Lab Vegetat & Environm Change, Beijing 100093, Peoples R China.","","","","",2
"Li, C_1","WOS:000389444800002
","Peking Univ, Dept Ecol, Coll Urban & Environm Sci, Beijing 100871, Peoples R China.
Peking Univ, Key Lab Earth Surface Proc, Minist Educ, Beijing 100871, Peoples R China.","","","","",3
"Wang, ZH_1","WOS:000389444800002
","Peking Univ, Dept Ecol, Coll Urban & Environm Sci, Beijing 100871, Peoples R China.
Peking Univ, Key Lab Earth Surface Proc, Minist Educ, Beijing 100871, Peoples R China.","","","Wang,Zhiheng/G-1750-2010","Wang,Zhiheng/0000-0003-0808-7780",4
"Fang, JY_1","WOS:000389444800002
","Peking Univ, Dept Ecol, Coll Urban & Environm Sci, Beijing 100871, Peoples R China.
Peking Univ, Key Lab Earth Surface Proc, Minist Educ, Beijing 100871, Peoples R China.","Peking Univ, Key Lab Earth Surface Proc, Minist Educ, Beijing 100871, Peoples R China.","","","",5
"Rodriguez-Ronderos, ME_1","WOS:000389444800003
","Marquette Univ, Dept Biol Sci, Milwaukee, WI 53203 USA.
Univ Wisconsin, Dept Biol Sci, Milwaukee, WI 53211 USA.
Smithsonian Trop Res Inst, Apartado 2072, Balboa, Panama.","","","","",1
"Bohrer, G_1","WOS:000389444800003
","Ohio State Univ, Dept Civil Environm & Geodet Engn, Columbus, OH 43210 USA.","","","","",2
"Sanchez-Azofeifa, A_1","WOS:000389444800003
","Ohio State Univ, Dept Civil Environm & Geodet Engn, Columbus, OH 43210 USA.
Univ Alberta, Dept Earth & Atmospher Sci, Edmonton, AB T6G 2E3, Canada.
Univ Alberta, CEOS, Edmonton, AB T6G 2E3, Canada.","","","","Sanchez-Azofeifa,Arturo/0000-0001-7768-6600",3
"Powers, JS_1","WOS:000389444800003
","Smithsonian Trop Res Inst, Apartado 2072, Balboa, Panama.
Univ Minnesota, Dept Ecol, St Paul, MN 55108 USA.
Univ Minnesota, Dept Ecol & Behav, St Paul, MN 55108 USA.
Univ Minnesota, Dept Plant Biol, St Paul, MN 55108 USA.","","","","",4
"Schnitzer, SA_1","WOS:000389444800003
","Marquette Univ, Dept Biol Sci, Milwaukee, WI 53203 USA.
Smithsonian Trop Res Inst, Apartado 2072, Balboa, Panama.","Smithsonian Trop Res Inst, Apartado 2072, Balboa, Panama.","","","",5
"Zhu, ZC_1","WOS:000389444800004
","Royal Netherlands Inst Sea Res NIOZ, Dept Estuarine & Delta Syst, NL-4400 AC Yerseke, Netherlands.
Univ Utrecht, NL-4400 AC Yerseke, Netherlands.","Univ Utrecht, NL-4400 AC Yerseke, Netherlands.","","","",1
"van Belzen, J_1","WOS:000389444800004
","Royal Netherlands Inst Sea Res NIOZ, Dept Estuarine & Delta Syst, NL-4400 AC Yerseke, Netherlands.
Univ Utrecht, NL-4400 AC Yerseke, Netherlands.","","","","vanBelzen,Jim/0000-0003-2099-1545",2
"Hong, T_1","WOS:000389444800004
","Royal Netherlands Inst Sea Res NIOZ, Dept Estuarine & Delta Syst, NL-4400 AC Yerseke, Netherlands.
Univ Utrecht, NL-4400 AC Yerseke, Netherlands.","","","","",3
"Kunihiro, T_1","WOS:000389444800004
","TechnoSuruga Lab Co Ltd, Shimizu Ku, Nagasaki 330, Shizuoka 4240065, Japan.","","","","",4
"Ysebaert, T_1","WOS:000389444800004
","Royal Netherlands Inst Sea Res NIOZ, Dept Estuarine & Delta Syst, NL-4400 AC Yerseke, Netherlands.
Univ Utrecht, NL-4400 AC Yerseke, Netherlands.","","","","",5
"Herman, PMJ_1","WOS:000389444800004
","Deltares, Marine & Coastal Syst, NL-2629 HD Delft, Netherlands.","","","","",6
"Bouma, TJ_1","WOS:000389444800004
","Royal Netherlands Inst Sea Res NIOZ, Dept Estuarine & Delta Syst, NL-4400 AC Yerseke, Netherlands.
Univ Utrecht, NL-4400 AC Yerseke, Netherlands.","","","","",7
