"AU_ID","UT","C1","RP","RID","RI","OI","Author_Order"
"Robertson, AL_1","WOS:000283726600003
","Univ Alaska Fairbanks, Dept Biol & Wildlife, Fairbanks, AK 99775 USA.","Univ Alaska Fairbanks, Dept Biol & Wildlife, 211 Irving 1, Fairbanks, AK 99775 USA","","","",1
"Malhi, Yadvinder_12","WOS:000283726600003
","","","","","",2
"Farfan-Amezquita, F._1","WOS:000283726600003
","","","","","",3
"Aragao, LEOC_3","WOS:000283726600003
","","","","","",4
"Espejo, JES_1","WOS:000283726600003
","","","","","",5
"Robertson, MA_1","WOS:000283726600003
","","","","","",6
"Malhi, Yadvinder_12","WOS:000283726600001
","Univ Oxford, Sch Geog & Environm, Environm Change Inst, Oxford OX1 3QY, England.","Univ Oxford, Sch Geog & Environm, Environm Change Inst, S Parks Rd, Oxford OX1 3QY, England","","","",1
"Silman, Miles R._2","WOS:000283726600001
","Wake Forest Univ, Dept Biol, Winston Salem, NC 27106 USA.","","","","",2
"Salinas, N._2","WOS:000283726600001
","Univ San Antonio Abad, Cuzco, Peru.","","","","",3
"Bush, Mark B._1","WOS:000283726600001
","Univ Edinburgh, Sch Geosci, Edinburgh EH8 9XP, Midlothian, Scotland.","","","","",4
"Meir, Patrick_6","WOS:000283726600001
","Florida Inst Technol, Dept Biol Sci, Melbourne, FL 32901 USA.","","","","",5
"Saatchi, Sassan_1","WOS:000283726600001
","CALTECH, Jet Prop Lab, Pasadena, CA 91109 USA.","","","","",6
"Girardin, CAJ_1","WOS:000283726600002
","Univ Oxford, Sch Geog & Environm, Environm Change Inst, Oxford OX1 3QY, England.","Univ Oxford, Sch Geog & Environm, Environm Change Inst, S Parks Rd, Oxford OX1 3QY, England","","","",1
"Malhi, Yadvinder_12","WOS:000283726600002
","Univ Oxford, Sch Geog & Environm, Environm Change Inst, Oxford OX1 3QY, England.","","","","",2
"Aragao, LEOC_3","WOS:000283726600002
","","","","","",3
"Mamani, M._1","WOS:000283726600002
","Univ San Antonio Abad, Cuzco, Peru.","","","","",4
"Huasco, WH_1","WOS:000283726600002
","","","","","",5
"Durand, L_1","WOS:000283726600002
","Univ San Antonio Abad, Cuzco, Peru.","","","","",6
"Feeley, KJ_2","WOS:000283726600002
","","","","","",7
"Rapp, Joshua M._1","WOS:000283726600002
","Wake Forest Univ, Dept Biol, Winston Salem, NC 27106 USA.","","","","",8
"Silva-Espejo, JE_1","WOS:000283726600002
","","","","","",9
"Silman, Miles R._2","WOS:000283726600002
","Wake Forest Univ, Dept Biol, Winston Salem, NC 27106 USA.","","","","",10
"Salinas, N._2","WOS:000283726600002
","Univ Oxford, Sch Geog & Environm, Environm Change Inst, Oxford OX1 3QY, England.
Univ San Antonio Abad, Cuzco, Peru.","","","","",11
"Whittaker, RJ_2","WOS:000283726600002
","","","","","",12
"Baker, TR_10","WOS:000283983200001
","Univ Leeds, Sch Geog, Leeds LS2 9JT, W Yorkshire, England.","Univ Leeds, Sch Geog, Leeds LS2 9JT, W Yorkshire, England","","","",1
"Jones, JPG_1","WOS:000283983200001
","","","","","",2
"Thompson, ORR_1","WOS:000283983200001
","","","","","",3
"Cuesta, RMR_1","WOS:000283983200001
","","","","","",4
"del Castillo, D_1","WOS:000283983200001
","","","","","",5
"Aguilar, IC_1","WOS:000283983200001
","","","","","",6
"Torres, J_1","WOS:000283983200001
","","","","","",7
"Healey, JR_1","WOS:000283983200001
","","","","","",8
"Horgan, FG_4","WOS:000284171700008
","Univ New Brunswick, Dept Biol, Populat Ecol Grp, Fredericton, NB E3B 6C2, Canada.","Int Rice Res Inst, DAPO Box 7777, Manila, Philippines","","","",1
"Quiring, DT_4","WOS:000284171700008
","","","","","",2
"Lagnaoui, A_6","WOS:000284171700008
","","","","","",3
"Salas, AR_2","WOS:000284171700008
","","","","","",4
"Pelletier, Y_4","WOS:000284171700008
","","","","","",5
"Malhado, ACM_1","WOS:000282982300009
","Univ Oxford, Sch Geog & Environm, Oxford OX1 2JD, England.","Univ Fed Vicosa, Biosphere Atmosphere Grp, BR-36570000 Vicosa, MG, Brazil","","","",1
"Whittaker, RJ_2","WOS:000282982300009
","","","","","",2
"Malhi, Yadvinder_12","WOS:000282982300009
","","","","","",3
"Ladle, RJ_1","WOS:000282982300009
","","","","","",4
"ter Steege, Hans_3","WOS:000282982300009
","","","","","",5
"Phillips, Oliver L._9","WOS:000282982300009
","","","","","",6
"Aragao, LEOC_3","WOS:000282982300009
","","","","","",7
"Baker, TR_10","WOS:000282982300009
","","","","","",8
"Arroyo, Luzmila_3","WOS:000282982300009
","","","","","",9
"Almeida, S_6","WOS:000282982300009
","","","","","",10
"Higuchi, Niro_2","WOS:000282982300009
","","","","","",11
"Killeen, TJ_5","WOS:000282982300009
","","","","","",12
"Monteagudo, Abel_4","WOS:000282982300009
","","","","","",13
"Pitman, NCA_9","WOS:000282982300009
","","","","","",14
"Prieto, Adriana_2","WOS:000282982300009
","","","","","",15
"Salomao, RP_1","WOS:000282982300009
","","","","","",16
"Vasquez-Martinez, Rodolfo_1","WOS:000282982300009
","","","","","",17
"Laurance, WF_7","WOS:000282982300009
","","","","","",18
"Ramirez-Angulo, Hirma_2","WOS:000282982300009
","","","","","",19
"Gibbon, A_2","WOS:000282699200011
","Univ Oxford, Environm Change Inst, Sch Geog & Environm, Oxford OX1 3QY, England.","Univ Oxford, Environm Change Inst, Sch Geog & Environm, S Parks Rd, Oxford OX1 3QY, England","","","",1
"Silman, MR_4","WOS:000282699200011
","","","","","",2
"Malhi, Yadvinder_12","WOS:000282699200011
","","","","","",3
"Fisher, JB_1","WOS:000282699200011
","","","","","",4
"Meir, Patrick_6","WOS:000282699200011
","","","","","",5
"Zimmermann, M_2","WOS:000282699200011
","","","","","",6
"Dargie, GC_2","WOS:000282699200011
","","","","","",7
"Farfan, WR_2","WOS:000282699200011
","","","","","",8
"Garcia, KC_2","WOS:000282699200011
","","","","","",9
"Gaos, AR_1","WOS:000284038500027
","Ocean Fdn, Washington, DC USA.","Ocean Fdn, Washington, DC USA","","","",1
"Abreu-Grobois, FA_1","WOS:000284038500027
","","","","","",2
"Alfaro-Shigueto, Joanna_4","WOS:000284038500027
","ProDelphinus, Lima, Peru.
Univ Exeter, Exeter, Devon, England.","","","","",3
"Amorocho, D_1","WOS:000284038500027
","Ctr Invest El Manejo Ambiental & El Desarrollo, Cali, Colombia.","","","","",4
"Arauz, R_1","WOS:000284038500027
","Programa Restaurac Tortugas Marinas, San Jose, Costa Rica.","","","","",5
"Baquero, A_1","WOS:000284038500027
","Fdn Equilibrio Azul, Quito, Ecuador.
Univ San Francisco Quito, Quito, Ecuador.","","","","",6
"Briseno, R_1","WOS:000284038500027
","UNAM, Lab Genet & Banco Informac Tortugas Marinas, Inst Ciencias Mar & Limnol, Mazatlan, Mexico.","","","","",7
"Chacon, D_1","WOS:000284038500027
","WIDECAST Latin Amer, San Jose, Costa Rica.","","","","",8
"Duenas, C_1","WOS:000284038500027
","Minist Medio Ambiente & Recursos Nat, San Salvador, El Salvador.","","","","",9
"Hasbun, C_1","WOS:000284038500027
","USAID, Santa Elena, La Libertad, El Salvador.","","","","",10
"Liles, M_1","WOS:000284038500027
","Fdn Zool El Salvador, San Salvador, El Salvador.","","","","",11
"Mariona, G_1","WOS:000284038500027
","Fdn Zool El Salvador, San Salvador, El Salvador.","","","","",12
"Muccio, C_1","WOS:000284038500027
","Asociac Rescate & Conservac Vida Silvestre, San Lucas Sacatepequez, Guatemala.","","","","",13
"Munoz, JP_1","WOS:000284038500027
","","","","","",14
"Nichols, WJ_1","WOS:000284038500027
","","","","","",15
"Pena, M_1","WOS:000284038500027
","Fdn Equilibrio Azul, Quito, Ecuador.","","","","",16
"Seminoff, JA_2","WOS:000284038500027
","","","","","",17
"Vasquez, M_1","WOS:000284038500027
","Univ El Salvador, Inst Ciencias Mar & Limnol, San Salvador, El Salvador.","","","","",18
"Urteaga, J_1","WOS:000284038500027
","Fauna & Flora Int, Managua, Nicaragua.","","","","",19
"Wallace, B_1","WOS:000284038500027
","Conservat Int, Global Marine Div, Arlington, TX USA.","","","","",20
"Yanez, IL_1","WOS:000284038500027
","","","","","",21
"Zarate, P_1","WOS:000284038500027
","Univ Florida, Archie Carr Ctr Sea Turtle Res, Gainesville, FL USA.
Univ Florida, Dept Biol, Gainesville, FL USA.
Charles Darwin Fdn, Santa Cruz Isl, Galapagos Isl, Ecuador.","","","","",22
"von May, R_1","WOS:000281371800004
","Florida Int Univ, Dept Biol Sci, Miami, FL 33199 USA.","Florida Int Univ, Dept Biol Sci, 11200 SW 8th St,OE 167, Miami, FL 33199 USA","","","",1
"Jacobs, JM_1","WOS:000281371800004
","","","","","",2
"Santa-Cruz, R_1","WOS:000281371800004
","","","","","",3
"Valdivia, JS_1","WOS:000281371800004
","","","","","",4
"Huaman, JM_1","WOS:000281371800004
","","","","","",5
"Donnelly, MA_1","WOS:000281371800004
","","","","","",6
"Muller, B_1","WOS:000280391000016
","Deutsch Primatenzentrum GmbH, Abt Verhaltensokol & Soziobiol, D-37077 Gottingen, Germany.","","","","",1
"Matz-Rensing, K_1","WOS:000280391000016
","","","","","",2
"Yamacita, JGP_1","WOS:000280391000016
","","","","","",3
"Heymann, EW_1","WOS:000280391000016
","","Deutsch Primatenzentrum GmbH, Abt Verhaltensokol & Soziobiol, Kellnerweg 4, D-37077 Gottingen, Germany","","","",4
"Prieto, I_1","WOS:000280083300004
","EEZA, CSIC, La Canada De San Urbano 04120, Almeria, Spain.","EEZA, CSIC, Carretera Sacramento S-N, La Canada De San Urbano 04120, Almeria, Spain","","","",1
"Martinez-Tilleria, K_1","WOS:000280083300004
","","","","","",2
"Martinez-Manchego, L_1","WOS:000280083300004
","","","","","",3
"Montecinos, S_1","WOS:000280083300004
","","","","","",4
"Pugnaire, FI_1","WOS:000280083300004
","","","","","",5
"Squeo, FA_2","WOS:000280083300004
","","","","","",6
"Vergara, PM_1","WOS:000277596100020
","Univ Santiago Chile, Dept Ingn Geog, Santiago 7254758, Chile.","Univ Santiago Chile, Dept Ingn Geog, Av Lib B OHiggins 3363, Santiago 7254758, Chile","","","",1
"Hahn, IJ_1","WOS:000277596100020
","","","","","",2
"Zeballos, H_1","WOS:000277596100020
","","","","","",3
