"filename","AB","AF","AU","BP","C1","CC","CH","CL","CR","CT","CY","DE","DI","DT","EM","EP","FN","FU","FX","GA","GE","ID","IS","J9","JI","LA","LT","MC","MI","NR","PA","PD","PG","PI","PN","PS","PT","PU","PY","RI","RID","OI","PM","RP","SC","SI","SN","SO","SU","TA","TC","TI","UT","VR","VL","WC","Z9"
"./data/Peru.txt",NA,"Robertson, Amanda L.
Malhi, Yadvinder
Farfan-Amezquita, Filio
Aragao, Luiz Eduardo O. C.
Espejo, Javier Eduardo Silva
Robertson, Matthew A.
","Robertson, AL
Malhi, Y
Farfan-Amezquita, F
Aragao, LEOC
Espejo, JES
Robertson, MA
","3193
","[Robertson, AL] Univ Alaska Fairbanks, Dept Biol & Wildlife, Fairbanks, AK 99775 USA.
[Malhi, Y; Aragao, LEOC] Univ Oxford, Sch Geog & Environm, Environm Change Inst, Oxford OX1 3QY, England.
[Farfan-Amezquita, F; Espejo, JES] Univ San Antonio Abad, Cuzco, Peru.
[Robertson, MA] Univ Alaska Fairbanks, Dept Forest Sci, Fairbanks, AK 99775 USA.
",NA,NA,NA,NA,NA,NA,NA,"10.1111/j.1365-2486.2010.02314.x
",NA,"alrobertson2@alaska.edu
","3204
","NA
",NA,NA,NA,NA,NA,"12
",NA,NA,NA,NA,NA,NA,NA,NA,"DEC
",NA,NA,NA,NA,"J
",NA,"2010
",NA,NA,NA,NA,"Robertson, AL (reprint author), Univ Alaska Fairbanks, Dept Biol & Wildlife, 211 Irving 1, Fairbanks, AK 99775 USA
",NA,NA,"1354-1013
","GLOBAL CHANGE BIOLOGY
",NA,NA,"1
","Stem respiration in tropical forests along an elevation gradient in the
Amazon and Andes
","WOS:000283726600003
",NA,"16
",NA,"1
"
"./data/Peru.txt",NA,"Malhi, Y.
Silman, M.
Salinas, N.
Bush, M.
Meir, P.
Saatchi, S.
","Malhi, Y
Silman, M
Salinas, N
Bush, M
Meir, P
Saatchi, S
","3171
","[Malhi, Y] Univ Oxford, Sch Geog & Environm, Environm Change Inst, Oxford OX1 3QY, England.
[Silman, M] Wake Forest Univ, Dept Biol, Winston Salem, NC 27106 USA.
[Salinas, N] Univ San Antonio Abad, Cuzco, Peru.
[Bush, M] Univ Edinburgh, Sch Geosci, Edinburgh EH8 9XP, Midlothian, Scotland.
[Meir, P] Florida Inst Technol, Dept Biol Sci, Melbourne, FL 32901 USA.
[Saatchi, S] CALTECH, Jet Prop Lab, Pasadena, CA 91109 USA.
",NA,NA,NA,NA,NA,NA,NA,"10.1111/j.1365-2486.2010.02323.x
",NA,"yadvinder.malhi@ouce.ox.ac.uk
","3175
","NA
",NA,NA,NA,NA,NA,"12
",NA,NA,NA,NA,NA,NA,NA,NA,"DEC
",NA,NA,NA,NA,"J
",NA,"2010
",NA,NA,NA,NA,"Malhi, Y (reprint author), Univ Oxford, Sch Geog & Environm, Environm Change Inst, S Parks Rd, Oxford OX1 3QY, England
",NA,NA,"1354-1013
","GLOBAL CHANGE BIOLOGY
",NA,NA,"1
","Introduction: Elevation gradients in the tropics: laboratories for
ecosystem ecology and global change research
","WOS:000283726600001
",NA,"16
",NA,"1
"
"./data/Peru.txt",NA,"Girardin, C. A. J.
Malhi, Y.
Aragao, L. E. O. C.
Mamani, M.
Huasco, W. Huaraca
Durand, L.
Feeley, K. J.
Rapp, J.
Silva-Espejo, J. E.
Silman, M.
Salinas, N.
Whittaker, R. J.
","Girardin, CAJ
Malhi, Y
Aragao, LEOC
Mamani, M
Huasco, WH
Durand, L
Feeley, KJ
Rapp, J
Silva-Espejo, JE
Silman, M
Salinas, N
Whittaker, RJ
","3176
","[Girardin, CAJ; Malhi, Y; Aragao, LEOC; Salinas, N; Whittaker, RJ] Univ Oxford, Sch Geog & Environm, Environm Change Inst, Oxford OX1 3QY, England.
[Aragao, LEOC] Univ Exceter, Sch Geog, Exeter EX4 4RJ, Devon, England.
[Mamani, M; Huasco, WH; Durand, L; Silva-Espejo, JE; Salinas, N] Univ San Antonio Abad, Cuzco, Peru.
[Feeley, KJ; Rapp, J; Silman, M] Wake Forest Univ, Dept Biol, Winston Salem, NC 27106 USA.
[Feeley, KJ] Florida Int Univ, Miami, FL 33199 USA.
[Feeley, KJ] Fairchild Trop Bot Garden, Miami, FL 33199 USA.
",NA,NA,NA,NA,NA,NA,NA,"10.1111/j.1365-2486.2010.02235.x
",NA,"cecilegirardin@gmail.com
","3192
","NA
",NA,NA,NA,NA,NA,"12
",NA,NA,NA,NA,NA,NA,NA,NA,"DEC
",NA,NA,NA,NA,"J
",NA,"2010
",NA,NA,NA,NA,"Girardin, CAJ (reprint author), Univ Oxford, Sch Geog & Environm, Environm Change Inst, S Parks Rd, Oxford OX1 3QY, England
",NA,NA,"1354-1013
","GLOBAL CHANGE BIOLOGY
",NA,NA,"10
","Net primary productivity allocation and cycling of carbon along a
tropical forest elevational transect in the Peruvian Andes
","WOS:000283726600002
",NA,"16
",NA,"10
"
"./data/Peru.txt",NA,"Baker, Tim R.
Jones, Julia P. G.
Thompson, Olivia R. Rendon
Roman Cuesta, Rosa Maria
del Castillo, Dennis
Aguilar, Ivis Chan
Torres, Jorge
Healey, John R.
","Baker, TR
Jones, JPG
Thompson, ORR
Cuesta, RMR
del Castillo, D
Aguilar, IC
Torres, J
Healey, JR
","1159
","[Baker, TR; Thompson, ORR] Univ Leeds, Sch Geog, Leeds LS2 9JT, W Yorkshire, England.
[Jones, JPG; Healey, JR] Bangor Univ, Sch Environm Nat Resources & Geog, Bangor LL57 2UW, Gwynedd, Wales.
[Cuesta, RMR] Ctr Forestry Res & Ecol Applicat, Barcelona, Spain.
[del Castillo, D] Inst Invest Amazonia Peruana, Iquitos, Peru.
[Aguilar, IC] Univ Leeds, Sch Biol Sci, Leeds LS2 9JT, W Yorkshire, England.
[Torres, J] SFMBAM SAC, Lima, Peru.
",NA,NA,NA,NA,NA,NA,NA,"10.1111/j.1365-2664.2010.01885.x
",NA,"t.r.baker@leeds.ac.uk
","1165
","NA
",NA,NA,NA,NA,NA,"6
",NA,NA,NA,NA,NA,NA,NA,NA,"DEC
",NA,NA,NA,NA,"J
",NA,"2010
"," A-3031-2011
",NA,NA,NA,"Baker, TR (reprint author), Univ Leeds, Sch Geog, Leeds LS2 9JT, W Yorkshire, England
",NA,NA,"0021-8901
","JOURNAL OF APPLIED ECOLOGY
",NA,NA,"2
","How can ecologists help realise the potential of payments for carbon in
tropical forest countries?
","WOS:000283983200001
",NA,"47
",NA,"2
"
"./data/Peru.txt",NA,"Horgan, Finbarr G.
Quiring, Dan T.
Lagnaoui, Aziz
Salas, Alberto R.
Pelletier, Yvan
","Horgan, FG
Quiring, DT
Lagnaoui, A
Salas, AR
Pelletier, Y
","269
","[Horgan, FG; Quiring, DT; Pelletier, Y] Univ New Brunswick, Dept Biol, Populat Ecol Grp, Fredericton, NB E3B 6C2, Canada.
[Lagnaoui, A; Salas, AR] Ctr Int Papa, Dept Entomol & Nematol, Lima 12, Peru.
[Pelletier, Y] Agr & Agri Food Canada, Potato Res Ctr, Fredericton, NB E3B 4Z7, Canada.
",NA,NA,NA,NA,NA,NA,NA,"10.1111/j.1570-7458.2010.01060.x
",NA,"f.horgan@cgiar.org
","279
","NA
",NA,NA,NA,NA,NA,"3
",NA,NA,NA,NA,NA,NA,NA,NA,"DEC
",NA,NA,NA,NA,"J
",NA,"2010
",NA,NA,NA,NA,"Horgan, FG (reprint author), Int Rice Res Inst, DAPO Box 7777, Manila, Philippines
",NA,NA,"0013-8703
","ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA
",NA,NA,"0
","Variations in resistance against Phthorimaea operculella in wild potato
tubers
","WOS:000284171700008
",NA,"137
",NA,"0
"
"./data/Peru.txt",NA,"Malhado, Ana C. M.
Whittaker, Robert J.
Malhi, Yadvinder
Ladle, Richard J.
ter Steege, Hans
Phillips, Oliver
Aragao, L. E. O. C.
Baker, Timothy R.
Arroyo, Luzmilla
Almeida, Samuel
Higuchi, Niro
Killeen, Tim J.
Monteagudo, Abel
Pitman, Nigel C. A.
Prieto, Adriana
Salomao, Rafael P.
Vasquez-Martinez, Rodolfo
Laurance, William F.
Ramirez-Angulo, Hirma
","Malhado, ACM
Whittaker, RJ
Malhi, Y
Ladle, RJ
ter Steege, H
Phillips, O
Aragao, LEOC
Baker, TR
Arroyo, L
Almeida, S
Higuchi, N
Killeen, TJ
Monteagudo, A
Pitman, NCA
Prieto, A
Salomao, RP
Vasquez-Martinez, R
Laurance, WF
Ramirez-Angulo, H
","852
","[Malhado, ACM; Whittaker, RJ; Malhi, Y; Ladle, RJ; Aragao, LEOC] Univ Oxford, Sch Geog & Environm, Oxford OX1 2JD, England.
[ter Steege, H] Univ Utrecht, Dept Ecol & Biodivers, NL-3508 TC Utrecht, Netherlands.
[Phillips, O; Baker, TR] Univ Leeds, Sch Geog, Earth & Biosphere Inst, Leeds LS2 9JT, W Yorkshire, England.
[Arroyo, L] Museo Hist Nat Noel Kempff Mercado, Santa Cruz, Bolivia.
[Almeida, S; Salomao, RP] Museu Paraense Emilio Goeldi, Belem, Para, Brazil.
[Higuchi, N; Laurance, WF] Inst Nacl de Pesquisas da Amazonia, Manaus, Amazonas, Brazil.
[Killeen, TJ; Vasquez-Martinez, R] Conservat Int, Ctr Appl Biodivers Sci, Washington, DC USA.
[Monteagudo, A] Univ Nacl San Antonio Abad Cusco, Herbario Vargas, Cuzco, Peru.
[Pitman, NCA] Duke Univ, Ctr Trop Conservat, Durham, NC USA.
[Ramirez-Angulo, H] Univ Los Andes, Fac Ciencias Forestales & Ambientales, Merida, Venezuela.
",NA,NA,NA,NA,NA,NA,NA,"10.1111/j.1466-8238.2010.00567.x
",NA,"anaclaudiamalhado@gmail.com
","862
","NA
",NA,NA,NA,NA,NA,"6
",NA,NA,NA,NA,NA,NA,NA,NA,"NOV
",NA,NA,NA,NA,"J
",NA,"2010
"," A-7681-2008
",NA,NA,NA,"Malhado, ACM (reprint author), Univ Fed Vicosa, Biosphere Atmosphere Grp, BR-36570000 Vicosa, MG, Brazil
",NA,NA,"1466-822X
","GLOBAL ECOLOGY AND BIOGEOGRAPHY
",NA,NA,"1
","Are compound leaves an adaptation to seasonal drought or to rapid
growth? Evidence from the Amazon rain forest
","WOS:000282982300009
",NA,"19
",NA,"1
"
"./data/Peru.txt",NA,"Gibbon, Adam
Silman, Miles R.
Malhi, Yadvinder
Fisher, Joshua B.
Meir, Patrick
Zimmermann, Michael
Dargie, Greta C.
Farfan, William R.
Garcia, Karina C.
","Gibbon, A
Silman, MR
Malhi, Y
Fisher, JB
Meir, P
Zimmermann, M
Dargie, GC
Farfan, WR
Garcia, KC
","1097
","[Gibbon, A; Malhi, Y; Fisher, JB] Univ Oxford, Environm Change Inst, Sch Geog & Environm, Oxford OX1 3QY, England.
[Silman, MR; Farfan, WR; Garcia, KC] Wake Forest Univ, Dept Biol, Winston Salem, NC 27106 USA.
[Meir, P; Zimmermann, M; Dargie, GC] Univ Edinburgh, Sch Geosci, Edinburgh EH8 9XP, Midlothian, Scotland.
[Farfan, WR; Garcia, KC] Univ Nacl San Antonio Abad, Cuzco, Peru.
",NA,NA,NA,NA,NA,NA,NA,"10.1007/s10021-010-9376-8
",NA,"a.e.gibbon@gmail.com
","1111
","NA
",NA,NA,NA,NA,NA,"7
",NA,NA,NA,NA,NA,NA,NA,NA,"NOV
",NA,NA,NA,NA,"J
",NA,"2010
"," F-7547-2010
",NA,NA,NA,"Gibbon, A (reprint author), Univ Oxford, Environm Change Inst, Sch Geog & Environm, S Parks Rd, Oxford OX1 3QY, England
",NA,NA,"1432-9840
","ECOSYSTEMS
",NA,NA,"1
","Ecosystem Carbon Storage Across the Grassland-Forest Transition in the
High Andes of Manu National Park, Peru
","WOS:000282699200011
",NA,"13
",NA,"1
"
"./data/Peru.txt",NA,"Gaos, Alexander R.
Abreu-Grobois, F. A.
Alfaro-Shigueto, J.
Amorocho, D.
Arauz, R.
Baquero, A.
Briseno, R.
Chacon, D.
Duenas, C.
Hasbun, C.
Liles, M.
Mariona, G.
Muccio, C.
Munoz, J. P.
Nichols, W. J.
Pena, M.
Seminoff, J. A.
Vasquez, M.
Urteaga, J.
Wallace, B.
Yanez, I. L.
Zarate, P.
","Gaos, AR
Abreu-Grobois, FA
Alfaro-Shigueto, J
Amorocho, D
Arauz, R
Baquero, A
Briseno, R
Chacon, D
Duenas, C
Hasbun, C
Liles, M
Mariona, G
Muccio, C
Munoz, JP
Nichols, WJ
Pena, M
Seminoff, JA
Vasquez, M
Urteaga, J
Wallace, B
Yanez, IL
Zarate, P
","595
","[Gaos, AR; Yanez, IL] Ocean Fdn, Washington, DC USA.
[Gaos, AR] San Diego State Univ, Dept Biol, San Diego, CA 92102 USA.
[Abreu-Grobois, FA; Briseno, R] UNAM, Lab Genet & Banco Informac Tortugas Marinas, Inst Ciencias Mar & Limnol, Mazatlan, Mexico.
[Alfaro-Shigueto, J] ProDelphinus, Lima, Peru.
[Alfaro-Shigueto, J] Univ Exeter, Exeter, Devon, England.
[Amorocho, D] Ctr Invest El Manejo Ambiental & El Desarrollo, Cali, Colombia.
[Arauz, R] Programa Restaurac Tortugas Marinas, San Jose, Costa Rica.
[Baquero, A; Munoz, JP; Pena, M] Fdn Equilibrio Azul, Quito, Ecuador.
[Baquero, A] Univ San Francisco Quito, Quito, Ecuador.
[Chacon, D] WIDECAST Latin Amer, San Jose, Costa Rica.
[Duenas, C] Minist Medio Ambiente & Recursos Nat, San Salvador, El Salvador.
[Hasbun, C] USAID, Santa Elena, La Libertad, El Salvador.
[Liles, M; Mariona, G] Fdn Zool El Salvador, San Salvador, El Salvador.
[Muccio, C] Asociac Rescate & Conservac Vida Silvestre, San Lucas Sacatepequez, Guatemala.
[Nichols, WJ] Calif Acad Sci, San Francisco, CA 94118 USA.
[Seminoff, JA] Natl Ocean & Atmospher Adm, San Diego, CA USA.
[Vasquez, M] Univ El Salvador, Inst Ciencias Mar & Limnol, San Salvador, El Salvador.
[Urteaga, J] Fauna & Flora Int, Managua, Nicaragua.
[Wallace, B] Conservat Int, Global Marine Div, Arlington, TX USA.
[Yanez, IL] Grp Tortuguero Californias AC, La Paz, Mexico.
[Zarate, P] Univ Florida, Archie Carr Ctr Sea Turtle Res, Gainesville, FL USA.
[Zarate, P] Univ Florida, Dept Biol, Gainesville, FL USA.
[Zarate, P] Charles Darwin Fdn, Santa Cruz Isl, Galapagos Isl, Ecuador.
",NA,NA,NA,NA,NA,NA,NA,"10.1017/S0030605310000773
",NA,NA,"601
","NA
",NA,NA,NA,NA,NA,"4
",NA,NA,NA,NA,NA,NA,NA,NA,"OCT
",NA,NA,NA,NA,"J
",NA,"2010
",NA,NA,NA,NA,"Gaos, AR (reprint author), Ocean Fdn, Washington, DC USA
",NA,NA,"0030-6053
","ORYX
",NA,NA,"1
","Signs of hope in the eastern Pacific: international collaboration
reveals encouraging status for a severely depleted population of
hawksbill turtles Eretmochelys imbricata
","WOS:000284038500027
",NA,"44
",NA,"2
"
"./data/Peru.txt",NA,"von May, Rudolf
Jacobs, Jennifer M.
Santa-Cruz, Roy
Valdivia, Jorge
Huaman, Jusmell M.
Donnelly, Maureen A.
","von May, R
Jacobs, JM
Santa-Cruz, R
Valdivia, J
Huaman, JM
Donnelly, MA
","509
","[von May, R; Donnelly, MA] Florida Int Univ, Dept Biol Sci, Miami, FL 33199 USA.
[Jacobs, JM] Univ Calif Berkeley, Dept Integrat Biol, Berkeley, CA 94720 USA.
[Santa-Cruz, R] Univ Nacl San Agustin de Arequipa, Museo Hist Nat, Arequipa, Peru.
[Santa-Cruz, R; Valdivia, J] Univ Nacl San Agustin de Arequipa, Fac Ciencias Biol & Agropecuarias, Arequipa, Peru.
[Huaman, JM] Univ Nacl Amazon Madre de Dios, Fac Ingn Forestal, Puerto Maldonado, Madre de Dios, Peru.
",NA,NA,NA,NA,NA,NA,NA,"10.1017/S0266467410000301
",NA,"rvonmay@gmail.com
","519
","NA
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEP
",NA,NA," 5
",NA,"J
",NA,"2010
",NA,NA,NA,NA,"von May, R (reprint author), Florida Int Univ, Dept Biol Sci, 11200 SW 8th St,OE 167, Miami, FL 33199 USA
",NA,NA,"0266-4674
","JOURNAL OF TROPICAL ECOLOGY
",NA,NA,"0
","Amphibian community structure as a function of forest type in Amazonian
Peru
","WOS:000281371800004
",NA,"26
",NA,"0
"
"./data/Peru.txt",NA,"Mueller, Britta
Maetz-Rensing, Kerstin
Perez Yamacita, Jenni G.
Heymann, Eckhard W.
","Muller, B
Matz-Rensing, K
Yamacita, JGP
Heymann, EW
","601
","[Muller, B; Yamacita, JGP; Heymann, EW] Deutsch Primatenzentrum GmbH, Abt Verhaltensokol & Soziobiol, D-37077 Gottingen, Germany.
[Muller, B; Matz-Rensing, K] Deutsch Primatenzentrum GmbH, Abt Infekt Pathol, D-37077 Gottingen, Germany.
[Yamacita, JGP] Univ Nacl Amazonia Peruana, Fac Ciencias Biol, Cuadra, Iquitos, Peru.
[Muller, B] Bayer Landesamt Gesundheit & Lebensmittelsicherhe, D-91058 Erlangen, Germany.
",NA,NA,NA,NA,NA,NA,NA,"10.1007/s10344-009-0357-1
",NA,"eheyman@gwdg.de
","604
","NA
",NA,NA,NA,NA,NA,"4
",NA,NA,NA,NA,NA,NA,NA,NA,"AUG 10
",NA,NA,NA,NA,"J
",NA,"2010
",NA,NA,NA,NA,"Heymann, EW (reprint author), Deutsch Primatenzentrum GmbH, Abt Verhaltensokol & Soziobiol, Kellnerweg 4, D-37077 Gottingen, Germany
",NA,NA,"1612-4642
","EUROPEAN JOURNAL OF WILDLIFE RESEARCH
",NA,NA,"0
","Pathological and parasitological findings in a wild red titi monkey,
Callicebus cupreus (Pitheciidae, Platyrrhini)
","WOS:000280391000016
",NA,"56
",NA,"0
"
