"AU","AU_ID","AU_ID_Dupe","Similarity","AF","EM","C1","RP","RID","RI","OI"
"Jimenez-Uzcategui, G","Montufar, Rommel_1",NA,NA,"Torres-Santana, Christian W.","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Rivadeneyra, J_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Garcia-Villacorta, R_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Stevens, RD_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Lozada, T_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Guenter, S_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Ron, SR_3",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Cisneros-Heredia, DF","Reyes, CI_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Wright, J_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Meir, P_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Laurance, SG_3",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Calvopina, M_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Sevink, J_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Francisco-Ortega, J_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Ropert-Coudert, Y_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Vasquez-Martinez, R_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Capdevielle-Dulac, C","Capdevielle-Dulac, C_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Torres-Leguizamon, M","Torres-Leguizamon, M_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Villegas-Amtmann, S_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Aurioles-Gamboa, D_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Carrion-Tacuri, J_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Alvarez-Lopez, AA_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","d'Eeckenbrugge, GC_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Jimenez-Uzcategui, G","Romeijn-Peeters, E_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Gomez-Aparicio, Lorena","Gomez-Aparicio, Lorena_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Holguin-Gonzalez, JE","Silva, N_3",NA,NA,"Arunachalam, Muthukumarasamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
"Acevedo-Whitehouse, K","Halpern, BS_3",NA,NA,"Arunachalam, Muthukumarasamy","","","","","FigueroaClemente,ManuelEnrique/L-7577-2014",""
