"AU","AU_ID","AU_ID_Dupe","Similarity","AF","EM","C1","RP","RID","RI","OI"
"Trueman, M","Trueman, M_3",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Atkinson, R","Atkinson, R_5",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Guezou, A","Guezou, A_3",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Wurm, P","Wurm, P_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Metz, MR","Metz, MR_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Sousa, WP","Sousa, WP_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Valencia, R","Valencia, R_13",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Larrea, ML","Larrea, ML_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Werner, FA","Werner, FA_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Acurio, A","Acurio, A_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Rafael, V","Rafael, V_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Dangles, O","Dangles, O_5",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Castro, SA","Castro, SA_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Daehler, CC","Daehler, CC_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Silva, L","Silva, L_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Torres-Santana, CW","Torres-Santana, CW_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Reyes-Betancort, JA","Reyes-Betancort, JA_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Atkinson, R","Atkinson, R_5",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Jaramillo, P","Jaramillo, P_3",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Guezou, A","Guezou, A_3",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Jaksic, FM","Jaksic, FM_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Gaos, AR","Gaos, AR_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Abreu-Grobois, FA","Abreu-Grobois, FA_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Alfaro-Shigueto, J","Alfaro-Shigueto, J_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Amorocho, D","Amorocho, D_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Arauz, R","Arauz, R_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Baquero, A","Baquero, A_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Briseno, R","Briseno, R_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Chacon, D","Chacon, D_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Duenas, C","Duenas, C_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Hasbun, C","Hasbun, C_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Liles, M","Liles, M_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Mariona, G","Mariona, G_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Muccio, C","Muccio, C_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
