"AU","AU_ID","AU_ID_Dupe","Similarity","AF","EM","C1","RP","RID","RI","OI"
"Muller-Landau, HC","Trueman, M_2",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Atkinson, RJ_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Guezou, A_2",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Valencia, R_12",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Dangles, O_4",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Jaramillo, P_2",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Edgar, GJ_3",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Bustamante, RH_5",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Chiriboga, AI_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Garske, LE_2",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Torres-Santana, CW","Henderson, S_2",NA,NA,"Torres-Santana, Christian W.","","","","","",""
"Reyes-Betancort, JA","Homeier, J_2",NA,NA,"Reyes-Betancort, Jorge A.","","","","","",""
"Muller-Landau, HC","Valarezo, C_3",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Wilcke, W_3",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Abreu-Grobois, FA","Tello, JS_2",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Alfaro-Shigueto, J","Stevens, RD_2",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Greeney, HF_3",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Jager, H_3",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Kowarik, I_3",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Chave, J_4",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Chuyong, GB_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Hart, T_2",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Kenfack, D_3",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Muller-Landau, HC_2",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Thomas, DW_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Gibbs, JP_4",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Sterling, EJ_2",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Wiedenfeld, DA_2",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Gonzalez, JA_2",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Jost, L_2",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Walla, T_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Aguirre, N_2",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Stimm, B_2",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Weber, M_3",NA,NA,"Muller-Landau, Helene C.","","","","","",""
